title,rating,actors,studio,category,aspect,format
BeetleJuice,PG,Michael Keaton,Warner,Sci-Fi & Fantasy,Full,DVD
Singin In the Rain,G,Gene Kelly,Warner,Classic,Full,DVD
Pocahantas,G,"Mel Gibson, Linda Hunt",Disney,Animated,Wide,DVD
"Wiz, The",G,"Diana Ross, Michael Jackson",Universal,Sci-Fi & Fantasy,Wide,DVD
"Wizard Of Oz, The",G,Judy Garland,Warner,Sci-Fi & Fantasy,Full,DVD
Dragonheart,PG-13,Dennis Quaid,Univeral,Sci-Fi & Fantasy,Wide,DVD
Dune,PG-13,Kyle MacLachlan,Univeral,Sci-Fi & Fantasy,Wide,DVD
Atlantis -  Lost Empire,NR,Michael J Fox,Columbia/Tristar,Animated,Both,DVD
Atlantis  - Milo Returns,NR,Michael J Fox,Columbia/Tristar,Animated,Wide,DVD
Jason & the Argonauts,G,Todd Armstrong,Columbia/Tristar,Sci-Fi & Fantasy,Both,DVD
"Golden Voyage of Sinbad, The",G,John Phillip Law,Columbia,Sci-Fi & Fantasy,Wide,DVD
Sinbad & the Eye of the Tiger,PG,"Patrick Wayne, Jane Seymour",Columbia/Tristar,Sci-Fi & Fantasy,Wide,DVD
"7th Voyage of Sinbad, The",G,"Kerwin Mathews, Kathryn Grant",Columbia/Trista,Sci-Fi & Fantasy,Wide,DVD
Transformers - The Movie,PG,,Rhino,Animated,,DVD
Transformers - The Entire 1st Season,G,,Wea Corp,Animated,,DVD
Transformers - Second Season Part I,G,,Wea Corp,Animated,,DVD
Time Bandits,PG,"Sean Connery, Shelley Duvall",Criterion Collection,Sci-Fi & Fantasy,Wide,DVD
Clash of the Titans,PG,Harry Hamlin,Warner,Sci-Fi & Fantasy,Wide,DVD
Homeward Bound,G,Michael J. Fox,Buena Vista,Children,Full,DVD
Willow,PG,"Val Kilmer, Joanne Whalley",Fox,Sci-Fi & Fantasy,Wide,DVD
"Pride Of the Yankees, The",NR,Gary Cooper,MGM/UA,Classic,Full,DVD
They Call Me Mister Tibbs!,PG,Sidney Poitier,MGM/UA,Drama,Full,DVD
Spirit - Stallion of the Cimeron,G," Matt Damon",Universal,Animated,Wide,DVD
Small Soldiers,PG-13,"Gregory Smith, Kirsten Dunst",Dreamworks,Sci-Fi & Fantasy,Wide,DVD
Back to the Future 1,PG,Michael J Fox,Universal,Sci-Fi & Fantasy,Full,DVD
Mr. Deeds Goes to Town,NR,Gary Cooper,Columbia,Classic,Full,DVD
Star Trek - The Motion Picture,PG,William Shatner,Paramount,Sci-Fi & Fantasy,Wide,DVD
Star Trek - Wrath Of Khan,PG,William Shatner,Paramount,Sci-Fi & Fantasy,Wide,DVD
Star Trek - The Search For Spock,PG,William Shatner,Paramount,Sci-Fi & Fantasy,Wide,DVD
Star Trek - The Voyage Home,PG,William Shatner,Paramount,Sci-Fi & Fantasy,Wide,DVD
Star Trek - The Final Frontier,PG,William Shatner,Paramount,Sci-Fi & Fantasy,Wide,DVD
Star Trek - The Undiscovered Country,PG,William Shatner,Paramount,Sci-Fi & Fantasy,Wide,DVD
Star Trek - Generations,PG,William Shatner,Paramount,Sci-Fi & Fantasy,Wide,DVD
Star Trek - First Contact,PG,William Shatner,Paramount,Sci-Fi & Fantasy,Wide,DVD
Star Trek - Insurrection,PG,William Shatner,Paramount,Sci-Fi & Fantasy,Wide,DVD
My Big Fat Greek Wedding,PG,Nia Vardalos,HBO,Comedy,Both,DVD
Indiana Jones & The Raiders of the Lost Ark,PG,Harrison Ford,Paramount,Sci-Fi & Fantasy,Wide,DVD
Indiana Jones & The Temple Of Doom,PG,Harrison Ford,Paramount,Sci-Fi & Fantasy,Wide,DVD
Men In Black I,PG-13,"Tommy Lee Jones, Will Smith",Columbia,Sci-Fi & Fantasy,Both,DVD
X-Men,PG-13,Patrick Stewart,Fox,Sci-Fi & Fantasy,Wide,DVD
To Kill A Mockingbird,NR,Gregory Peck,Universal,Classic,Wide,DVD
Beautiful Mind,PG-13,Russel Crowe,Univeral,Drama,Wide,DVD
Total Recall,R,"Arnold Schwarzenegger, Sharon Stone",Artisan,Sci-Fi & Fantasy,Wide,DVD
Independence Day,PG-13,Will Smith,Fox,Sci-Fi & Fantasy,Wide,DVD
Training Day,R,"Denzel Washington, Ethan Hawke",Warner,Drama,Wide,DVD
Spawn,R,"Michael Jai White, John Leguizamo",New Line Studios,Sci-Fi & Fantasy,Wide,DVD
"Shadow, The",PG-13,Alec Baldwin,Universal,Sci-Fi & Fantasy,Full,DVD
Airforce One,R,Harrison Ford,Columbia/Tristar,Action & Suspense,Both,DVD
Goodfellas,R,"Robert De Niro, Ray Liotta",Warner,Drama,Wide,DVD
Apocalypse Now Redux,R,Martin Sheen,Paramount,Drama,Wide,DVD
Spy Kids II - The Island of Lost Dreams,PG,"Antonio Banderas, Carla Gugino",Buena Vista,Sci-Fi & Fantasy,Wide,DVD
ET The Extra Terrestrial,PG,Henry Thomas,Univeral,Sci-Fi & Fantasy,Wide,DVD
Miracle On 34th Street,NR,Maureen O'Hara,Fox,Classic,Full,DVD
March of the Wooden Soldiers,NR,"Stan Laurel, Oliver Hardy",Goodtimes Home Video,Children,Full,DVD
Snow Dogs,PG,"Cuba Gooding Jr., James Coburn",Disney,Children,Full,DVD
It's A Wonderful Life,NR,"James Stewart, Donna Reed",Republic Studios,Classic,Full,DVD
Spiderman,PG-13,"Tobey Maguire, Kirsten Dunst",Columbia/Tristar,Sci-Fi & Fantasy,Wide,DVD
Justice League,NR,Butch Lukic,Warner,Animated,Full,DVD
"Fox and the Hound, The",G,"Mickey Rooney, Kurt Russell",Disney,Animated,Full,DVD
Lost In Dinosaur World,NR,,Putnam Berkley,Animated,,VHS
Cool Hand Luke,NR,Paul Newman,Warner,Classic,Full,DVD
Shane,NR,"Alan Ladd, Jean Arthur",Paramount,Classic,Full,DVD
Roman Holiday,NR,"Audrey Hepburn, Gregory Peck",Paramount,Classic,Full,DVD
A Night at the Opera,NR,The Marx Brothers,Warner,Comedy,Full,DVD
Boys Town,NR,"Spencer Tracy, Mickey Rooney",Warner,Classic,Full,DVD
Sabrina,NR,"Humphrey Bogart, Audrey Hepburn, William Holden",Paramount,Classic,Full,DVD
Some Like It Hot,NR,"Marilyn Monroe, Tony Curtis, Jack Lemmon",MGM,Comedy,Wide,DVD
"Ultimate Avengers, The Movie",PG-13,,,Animated,Full,DVD
"Ultimate Avengers 2, The Movie",PG-13,,,Animated,,DVD
Trading Places,R,"Eddie Murphy, Dan Aykroyd",,Comedy,Wide,DVD
"Golden Child, The",PG-13,"Eddie Murphy,",,Sci-Fi & Fantasy,Wide,DVD
Mission Impossible III,PG-13,Tom Cruise,,Action & Suspense,Wide,DVD
"Phantom of the Opera, The",PG-13,,,Drama,Wide,DVD
Looney Tunes Golden Collection Volume 2 (4 Disks),NR,,,Animated,Full,DVD
Superman Returns,PG-13,"Brandon Routh, Kate Bosworth, Kevin Spacey",Warner,Sci-Fi & Fantasy,Wide,DVD
An Inconvenient Truth,PG,Al Gore,,Edu/Doc,Wide,DVD
World Trade Center,PG-13,"Nicholas Cage, Michael Pena",,Drama,Wide,DVD
Fantastic 4 - Rise of the Silver Surfer,PG,"Jessica Alba,",Marvel,Sci-Fi & Fantasy,Both,DVD
Spiderman 3,PG-13,"Toby McGuire, Kirsten Dunst",,Sci-Fi & Fantasy,Wide,DVD
Transformers - The Movie (Non-animated),PG-13,"Shia LeBeouf, Megan Fox",Paramount,Sci-Fi & Fantasy,Wide,DVD
Shrek 3,PG,"Mike Myers, Eddie Murphy",Dreamworks,Animated,Full,DVD
Meet The Robinsons,G,,Disney,Animated,Wide,DVD
An Officer and a Gentleman,R,"Richrd Gere, Louis Gossett Jr., Debra Winger",Paramount,Drama,Wide,DVD
Ratatouille,G,,Disney/Pixar,Animated,Wide,BLU
SICKO,PG-13,Michael Moore,,Edu/Doc,Wide,DVD
Beverly Hills Cop,R,Eddie Murphy,Paramount,Comedy,Wide,DVD
Beverly Hills Cop II,R,Eddie Murphy,Paramount,Comedy,Wide,DVD
Beverly Hill Cop III,R,Eddie Murphy,Paramount,Comedy,Wide,DVD
48 Hours,R,"Eddie Murphy, Nick Nolte",Paramount,Comedy,Wide,DVD
Another 48 Hours,R,"Eddie Murphy, Nick Nolte",Paramount,Comedy,Wide,DVD
Glory,R,"Mathew Broderick,Denzel Washington,Morgan Freeman",Tristar,Drama,Both,DVD
Close Encounters Of the Third Kind,PG,"Richard Dreyfuss, Teri Garr",Columbia,Sci-Fi & Fantasy,Wide,DVD
Tommy,PG,"Peter Townsend, John Entwistle, Kieth Moon",Columbia,Concerts,Wide,DVD
Rainman,R,Dustin Hoffman,,Drama,Wide,DVD
"Silence Of The Lambs, The",R,"Jody Foster, Anthony Hopkins",,Action & Suspense,,DVD
Raging Bull,R,Robert De Niro,,Drama,,DVD
"Graduate, The",PG,Dustin Hoffman,,Drama,,DVD
Sleeper,PG,"Woody Allen, Diane Keaton",,Comedy,,DVD
Manhattan,R,"Woody Allen, Diane Keaton",,Comedy,,DVD
Platoon,R,"Tom Beringer, Willem Dafoe",,Drama,,DVD
Thelma & Louise,R,"Susan Sarandon, Geena Davis",,Drama,,DVD
Fargo,R,"Frances McDormand, W.H. Macy",,Drama,,DVD
Hellboy,PG-13,Ron Perlman,,Sci-Fi & Fantasy,,DVD
Star Wars III - Revenge Of the Sith,PG-13,"Ewan McGregor, Natalie Portman",,Sci-Fi & Fantasy,,DVD
Batman Begins,PG-13,"Christian Bale, Michael Caine",,Sci-Fi & Fantasy,,DVD
Sky Captain & the World of Tomorrow,PG,"Jude Law, Gwynth Paltrow, Angelina Jolie",Paramount,Sci-Fi & Fantasy,Wide,DVD
"Polar Express, The",G,Tom Hanks,Warner,Sci-Fi & Fantasy,Wide,DVD
American Graffiti,PG,"Richard Dreyfuss, Ron Howard",Universal,Comedy,Wide,DVD
"Sting, The",PG,"Paul Newman, Robert Redford",Universal,Drama,Wide,DVD
"Birth of a Nation, The",NR,,,Comedy,,DVD
Fantastic 4,PG-13,"Jessica Alba,",Marvel,Sci-Fi & Fantasy,Wide,DVD
Sky High,PG,Kurt Russell,Walt Disney,Sci-Fi & Fantasy,Wide,DVD
Laura Croft - Tomb Raider,PG-13,Angelina Jolie,,Sci-Fi & Fantasy,Wide,DVD
Minority Report,PG-13,Tom Cruise,,Sci-Fi & Fantasy,Full,DVD
Harvey,NR,James Stewart,,Classic,Full,DVD
Out Of Africa,PG,"Robert Reford, Meryl Streep",,Drama,Wide,DVD
Charlie and the Chocolate Factory,PG,Johnny Depp,,Sci-Fi & Fantasy,Wide,DVD
Jungle Fever,R,"Wesley Snipes, Spike Lee",,Drama,Wide,DVD
Star Wars Clone Wars Volume 2,NR,,,Animated,Wide,DVD
Star Wars Clone Wars Volume 1,NR,,,Animated,Wide,DVD
Laura Croft - Tomb Raider - Cradle of Life,PG-13,Angelina Jolie,,Sci-Fi & Fantasy,Wide,DVD
Young Mr. Lincoln - Criterion Edition,NR,Henry Fonda,Criterion,Classic,Full,DVD
Harry Potter and the Goblet of Fire,PG,"Daniel Radcliffe, Emma Watson",,Sci-Fi & Fantasy,Wide,DVD
Harry Potter and the Prisoner of Azkaban,PG,"Daniel Radcliffe, Emma Watson",,Sci-Fi & Fantasy,Wide,DVD
King Kong,PG-13,"Naomi Watts, Jack Black, Adrien Brody",Universal,Sci-Fi & Fantasy,Wide,DVD
"Chronicles of Narnia, The Lion, Witch & Wardrobe",PG,,Disney,Sci-Fi & Fantasy,Wide,DVD
Dick Tracy,PG,Warren Beatty,,Sci-Fi & Fantasy,Wide,DVD
"Caine Mutiny, The",NR,Humphery Bogart,Columbia,Classic,Wide,DVD
Champion,NR,Kirk Douglas,,Classic,Full,DVD
Reap the Wild Wind,NR,"John Wayne, Susan Hayward, Ray Millarnd",Universal,Classic,Full,DVD
In Harm's Way,NR,"John Wayne, Kirk Douglas, Henry Fonda",Paramount,Classic,Wide,DVD
Woman of the Year,NR,"Spencer Tracy, Katherine Hepburn",Warner,Classic,Full,DVD
Adam's Rib,NR,"Spencer Tracy, Katherine Hepburn",Warner,Classic,Full,DVD
Conan The Barbarian,R,"Arnold Schwarzenegger, James Earl Jones",Universal,Sci-Fi & Fantasy,Wide,DVD
Conan the Destroyer,R,Arnold Schwarzenegger,Universal,Sci-Fi & Fantasy,Wide,DVD
Devil's Advocate,R,"Al Pacino, Keanu Reaves",Warner Bros,Drama,Wide,DVD
Fast Times At Ridgemont High,R,Sean Penn,Universal,Comedy,Wide,DVD
Planet Earth - The Complete Series (5 Discs),G,,BBC,Edu/Doc,Wide,DVD
Back to the Future 2,PG,Michael J Fox,Universal,Sci-Fi & Fantasy,Full,DVD
Back to the Future 3,PG,Michael J Fox,Universal,Sci-Fi & Fantasy,Full,DVD
Harry Potter and the Order of the Phoenix,PG-13,Daniel Radcliff,Warner,Sci-Fi & Fantasy,Full,DVD
"Big Boss, The",R,Bruce Lee,,Action & Suspense,Wide,DVD
Fist of Fury,R,Bruce Lee,,Action & Suspense,Wide,DVD
Way of the Dragon,R,Bruce Lee,,Action & Suspense,Wide,DVD
Game of Death,R,Bruce Lee,,Action & Suspense,Wide,DVD
Game of Death II,R,Bruce Lee,,Action & Suspense,Wide,DVD
Rocky,PG,Sylvester Stallone,MGM,Drama,Wide,DVD
Rocky II,PG,Sylvester Stallone,MGM,Drama,Wide,DVD
Rocky III,PG,Sylvester Stallone,MGM,Drama,Both,DVD
Rocky IV,PG,Sylvester Stallone,MGM,Drama,Both,DVD
Rocky V,PG-13,Sylvester Stallone,MGM,Drama,Both,DVD
There Will Be Blood,R,Daniel Day-Lewis,Paramount,Drama,Wide,DVD
I Am Legend,PG-13,Will Smith,Warner Bros.,Sci-Fi & Fantasy,Wide,DVD
National Treasure 2 Book Of Secrets,PG,Nicolas Cage,Disney,Action & Suspense,Wide,DVD
"Forbidden Kingdon, The",PG-13,"Jackie Chan, Jet Li",,Action & Suspense,Both,DVD
Iron Man,PG-13,"Robert Downey Jr., Gwyneth Paltrow",,Sci-Fi & Fantasy,Wide,DVD
"Incredible Hulk, The",PG-13,"Ed Norton, Liv Tyler, Tim Roth",,Sci-Fi & Fantasy,Full,DVD
Indiana Jones and the Kingdom of the Crystal Skull,PG-13,Harison Ford,Paramount,Sci-Fi & Fantasy,Wide,DVD
Spiderwick Cronicles,PG,,Nickelodeon,Sci-Fi & Fantasy,Full,DVD
Hulk,PG-13,"Eric Bana, Jennifer Connely",Universal,Sci-Fi & Fantasy,Full,DVD
"Kung Fu, The Complete First Three Seasons",,David Carradine,Warner,TV Series,Full,DVD
George Carlin - All My Stuff (14 Disks),,George Carlin,,Comedy,Full,DVD
Hellboy II,PG-13,Ron Perlman,,Sci-Fi & Fantasy,Wide,DVD
Star Wars The Clone Wars,PG,,Warner,Animated,Wide,DVD
Kung Fu Panda,PG,Jack Black,DreamWorks,Animated,Wide,BLU
"Chronicles of Narnia, Prince Caspian",PG,,Disney,Sci-Fi & Fantasy,Wide,DVD
Hancock,PG-13,"Will Smith, Charlize Theron",Columbia,Sci-Fi & Fantasy,Wide,DVD
Batman  - The Dark Knight,PG-13,"Christian Bale, Heath Ledger",Warner,Sci-Fi & Fantasy,Wide,DVD
Mummy - Tomb of the Dragon Emperor,PG-13,"Brendan Fraser, Jet Li",Universal,Sci-Fi & Fantasy,Wide,DVD
Speed Racer The Next Generation - The Beginning,NR,,Lions Gate,Animated,Full,DVD
"Nightmare Before Christmas, The",PG,,,Animated,Wide,BLU
X-Men Origins - Wolverine,PG-13,Hugh Jackman,Marvel,Sci-Fi & Fantasy,Wide,DVD
Michael Jackson  -  Video Greatest Hits,NR,Michael Jackson,,Concerts,,DVD
Queen - Live at Wembley Stadium,NR,,,Concerts,,DVD
Peter Gabriel - Secret World Live,NR,Peter Gabriel,,Concerts,Wide,DVD
Cat Stevens - Majikat - Earth Tour 1976,NR,Cat Stevens,,Concerts,,DVD
The National Parks - America's Best Idea,NR,Ken Burns,,Edu/Doc,Wide,BLU
Transformers - Revenge of the Fallen,PG-13,"Shia LeBeouf, Megan Fox",Paramount,Sci-Fi & Fantasy,Wide,DVD
A Praire Home Companion,NR,Garrison Keilloer,,Comedy,Wide,DVD
Star Trek,PG-13,"Chris Pine, Zack Quinto",Paramount,Sci-Fi & Fantasy,Wide,DVD
Cat Woman,PG-13,Halle Berry,Warner Bros,Sci-Fi & Fantasy,Wide,BLU
G.I. Joe - The Rise of Cobra,PG-13,"Dennis Quaid, Marlon Wayans",Paramount,Sci-Fi & Fantasy,Wide,DVD
Malcolm X,PG-13,"Denzel Washington,",Warner,Drama,Wide,DVD
9,PG-13,Tim Burton,Universal,Animated,Wide,DVD
2012,PG-13,John Cusack,Sony,Sci-Fi & Fantasy,Wide,DVD
The Blind Side,PG-13,Sandra Bullock,Warner,Drama,Wide,DVD
Sherlock Holmes,PG-13,"Robert Downey Jr,  Jude Law",Warner,Action & Suspense,Wide,DVD
Avatar,PG-13,"Sawm Worthinton, Sigourney Weaver",Fox,Sci-Fi & Fantasy,Wide,DVD
Alice In Wonderland  - Not Animated,PG,"Jonny Depp, Anne Hathaway",Disney,Sci-Fi & Fantasy,Wide,DVD
"Karate Kid, The",PG,"Jaden Smith, Jackie Chan",,Drama,Wide,DVD
Salt,NR,Angelina Jolie,,Action & Suspense,Wide,DVD
Legend Of the Gaurdians - The Owls of Ga' Hoole,PG,,Warner,Animated,Wide,DVD
Iron Man 2,PG-13,"Robert Downey Jr., Gwyneth Paltrow",,Sci-Fi & Fantasy,Wide,DVD & BLU
Despicable Me,PG,Steve Carell,Universal,Animated,Wide,DVD
Green Lantern,PG-13,Ryan Renolds,Warner,Sci-Fi & Fantasy,Wide,DVD
X-Men First Class,PG-13,"Kevin Bacon, Others",Fox,Sci-Fi & Fantasy,Wide,DVD
Harry Potter & The Deathy Hallows Part1,PG-13,"Daniel Radcliffe, Emma Watson",Warner Bros,Sci-Fi & Fantasy,Wide,BLU
Harry Potter & The Deathy Hallows Part2,PG-13,"Daniel Radcliffe, Emma Watson",Warner Bros,Sci-Fi & Fantasy,Wide,DVD
Catwoman,PG-13,Halle Berry,Warner,Sci-Fi & Fantasy,Wide,BLU
"Hobbit, The - An Unexpected Journey",PG-13,"Ian McKellen, Martin Freeman",Warner,Sci-Fi & Fantasy,Wide,DVD
Iron Man 3,PG-13,"Robert Downey Jr, Gweneth Paltrow",Marvel,Sci-Fi & Fantasy,Wide,DVD
Star Trek - Into Darkness,PG-13,"Chris Pine, Zachary Quinto",Paramount,Sci-Fi & Fantasy,Wide,DVD
Pirates of the Caribbean - Dead Man's Chest,PG-13,"Johnny Depp, Orlando Bloom",Disney,Sci-Fi & Fantasy,Wide,DVD
Les Miserables,PG-13,"Hugh Jackman, Russell Crow, Anne Hathaway",Universal,Drama,Wide,DVD
Oz The Great and Powerful,PG,James Franco,Disney,Sci-Fi & Fantasy,Wide,DVD
Man Of Steel,PG-13,"Henry Cavill, Amy Adams,",Warner,Sci-Fi & Fantasy,Wide,DVD & BLU
Gravity,PG-13,"Sandra Bullock, George Clooney",Warner,Sci-Fi & Fantasy,Wide,DVD
Pirates Of The Carribean-Curse of Black Pearl,PG-13,"Jonny Depp, Orlando Bloom",Disney,Sci-Fi & Fantasy,Wide,DVD
"Postman Always Rings Twice, The",R,"Jack Nickleson, Jessica Lange",Warner,Drama,Wide,DVD
Looney Toones Golden Collection Volume 3,NR,,Warner,Animated,Full,DVD
Looney Toones Golden Collection Volume 4,NR,,Warner,Animated,Full,DVD
Looney Toones Golden Collection Volume 5,NR,,Warner,Animated,Full,DVD
Looney Toones Golden Collection Volume 6,NR,,Warner,Animated,Full,DVD
12 Years a Slave,R,"Brad Pitt, Alfre Woodward",,Drama,Wide,DVD
Frozen,PG,,Disney,Animated,Wide,DVD
"Hobbit, The  - The Desolation of Smaug",PG-13,"Ian McKellen, Martin Freeman",Warner,Sci-Fi & Fantasy,Wide,DVD
Judgement At Nuremberg,NR,"Spencer Tracy, Burt Lancaster",Metro Goldwyn,Classic,Wide,DVD
To Sir With Love,NR,Sidney Poitier,Columbia,Classic,Wide,DVD
Inherit The Wind,NR,"Spencer Tracy, Fred march, Gene Kelly",Metro,Classic,Wide,DVD
"Amazing Spiderman, The",PG-13,"Andrew Garfield, Emma Stone",Columbia,Sci-Fi & Fantasy,Wide,DVD
"National Parks,  The",NR,Ken Burns,PBS,Edu/Doc,Wide,BLU
Planet Earth - The Complete Series,NR,,BBC,Edu/Doc,Wide,DVD
"Hunger Games, The",PG-13,Jennifer Lawrence,Lionsgate,Action & Suspense,Wide,DVD
Mission Impossible - Ghost Protocol,PG-13,"Tom Cruise,",,Action & Suspense,Wide,DVD
Xmen - The Last Stand,PG-13,"Hugh Jackman, Ian McKellen",,Sci-Fi & Fantasy,Wide,DVD
Life Of Pi,G,,20th Century,Drama,Wide,DVD
"Godfather, The  1, 2 & 3",R,,,Drama,Wide,DVD
Rise of the Guardians,PG,,Dreamworks,Animated,Wide,DVD
Mrs Peregrine's Home for Peculiar Children,PG-13,"Samuel L Jackson, Eva Green",20th Century,Sci-Fi & Fantasy,Wide,DVD
Loving,PG-13,"Joel Egerton, Ruth Negga",Universal,Drama,Wide,DVD
Suicide Squad,PG-13,"Will Smith, Margo Robbie, Viola Davis",Warner,Sci-Fi & Fantasy,Wide,DVD
Manchester By The Sea,R,"Casey Affleck, Michelle Williams",Lionsgate,Drama,Wide,DVD
Arrival,PG-13,"Amy Adams, Jeremy Renner, Forrest Whittaker",Paramount,Sci-Fi & Fantasy,Wide,DVD
Moonlight,R,"Mahershala Ali, Janelle Monae,  Trevante Rhodes",Lionsgate,Drama,Wide,DVD
Hacksaw Ridge,R,Andrew Garfield,Argent,Drama,Wide,DVD
Clockers - Spike Lee Collection,R,"Harvey Keitel,",Universal,Drama,Wide,DVD
Jungle Fever - Spike Lee Collection,R,"Wesley Snipes, Annabella Sciorra",Universal,Drama,Wide,DVD
Do the Right Thing - Spike Lee Collection,R,"Danny Aiello, Ossie Davis, Ruby Dee",Universal,Drama,Wide,DVD
Mo' Better Blues - Spike Lee Collection,R,"Denzel Washington, Wesley Snipes",Universal,Drama,Wide,DVD
Crooklyn - Spike Lee Collection,PG-13,"Alfre Woodard, Delroy Lindo",Universal,Drama,Wide,DVD
"Hobbit, The - Battle of the Five Armies",PG-13,"Ian McKellen,",Warner,Sci-Fi & Fantasy,Wide,DVD
Deadpool,R,Ryan Reynolds,Marvel,Sci-Fi & Fantasy,Wide,DVD
"Revenant, The",R,Leonardo DiCaprio,20th Century,Drama,Wide,DVD
Lucy,R,"Scarlett johansson, Morgan Freeman",Universal,Sci-Fi & Fantasy,Wide,DVD & BLU
"Wolverine, The",PG-13,Hugh Jackman,20th Century,Sci-Fi & Fantasy,Wide,DVD
Dead Poets Society,PG,Robin Williams,Touchstone,Drama,Wide,DVD
Good Will Hunting,R,"Robin Williams, Matt Damon, Ben Affleck",Lionsgate,Drama,Wide,DVD
Good Morning Vietnam,R,"Robin Williams, Forrest Whitaker",Touchstone,Drama,Wide,DVD
American Sniper,R,"Bradely Cooper, Sienna Miller",Warner Brothers,Drama,Wide,DVD
Indiana Jones and the Last Crusade,PG,Harrison Ford,Paramount,Sci-Fi & Fantasy,Wide,DVD
"Hobbit, The",PG,John Huston,Warner,Animated,,VHS
Toy Story,G,"Tom Hanks, Tim Allen",Disney,Animated,,DVD
Buzz Lightyear Of Star Command,NR,"Tim Allen, Sean P. Hayes",Disney,Animated,Wide,DVD